test accents
time,Discharge(cubic meters per second)
2011-11-03T00:00:00,0.818
2011-11-03T01:00:00,0.818
2011-11-03T02:00:00,0.818
2011-11-03T03:00:00,0.818
2011-11-03T04:00:00,0.818
2011-11-03T05:00:00,0.818
2011-11-03T06:00:00,0.818
2011-11-03T07:00:00,0.818
2011-11-03T08:00:00,0.818
2011-11-03T09:00:00,0.818
2011-11-03T10:00:00,0.818
2011-11-03T11:00:00,1.11
2011-11-03T12:00:00,0.964
2011-11-03T13:00:00,0.964
2011-11-03T14:00:00,0.964
2011-11-03T15:00:00,0.964
2011-11-03T16:00:00,0.964
2011-11-03T17:00:00,0.964
2011-11-03T18:00:00,0.964
2011-11-03T19:00:00,0.964
2011-11-03T20:00:00,0.964
2011-11-03T21:00:00,0.964
2011-11-03T22:00:00,0.964
2011-11-03T23:00:00,0.964
2011-11-04T00:00:00,0.964
2011-11-04T01:00:00,0.964
2011-11-04T02:00:00,0.964
2011-11-04T03:00:00,0.964
2011-11-04T04:00:00,1.11
2011-11-04T05:00:00,1.88
2011-11-04T06:00:00,3.44
2011-11-04T07:00:00,3.87
2011-11-04T08:00:00,3.44
2011-11-04T09:00:00,6.88
2011-11-04T10:00:00,11.4
2011-11-04T11:00:00,14.9
2011-11-04T12:00:00,17.9
2011-11-04T13:00:00,23.4
2011-11-04T14:00:00,26.6
2011-11-04T15:00:00,25.8
2011-11-04T16:00:00,24.2
2011-11-04T17:00:00,22.1
2011-11-04T18:00:00,20.3
2011-11-04T19:00:00,19.1
2011-11-04T20:00:00,17.9
2011-11-04T21:00:00,16.7
2011-11-04T22:00:00,16.7
2011-11-04T23:00:00,19.1
2011-11-05T00:00:00,22.7
2011-11-05T01:00:00,27.4
2011-11-05T02:00:00,31.5
2011-11-05T03:00:00,48.8
2011-11-05T04:00:00,61.3
2011-11-05T05:00:00,57.9
2011-11-05T06:00:00,49.9
2011-11-05T07:00:00,45.4
2011-11-05T08:00:00,42
2011-11-05T09:00:00,51.1
