fake title
time,"Magnesium, dissolved(milliequivalents per liter)"
1995-12-31T00:00:00,0.069
2000-02-16T00:00:00,0.037
2000-03-15T00:00:00,0.036
2000-04-12T00:00:00,0.03
2000-05-16T00:00:00,0.03
2000-06-14T00:00:00,0.032
2000-07-12T00:00:00,0.031
2000-08-15T00:00:00,0.033
2000-09-13T00:00:00,0.04
2000-10-11T00:00:00,0.045
2000-11-15T00:00:00,0.032
2000-12-13T00:00:00,0.028
2001-01-15T00:00:00,0.036
2001-02-14T00:00:00,0.035
2001-03-15T00:00:00,0.03
2001-04-18T00:00:00,0.025
2001-05-14T00:00:00,0.029
2001-06-13T00:00:00,0.028
2001-07-10T00:00:00,0.039
2001-08-15T00:00:00,0.035
2001-09-12T00:00:00,0.035
2001-10-17T00:00:00,0.036
2001-11-14T00:00:00,0.038
2001-12-12T00:00:00,0.035
2002-01-15T00:00:00,0.04
2002-02-13T00:00:00,0.03
2002-03-14T00:00:00,0.033
2002-04-17T00:00:00,0.028
2002-05-14T00:00:00,0.032
2002-06-12T00:00:00,0.032
2002-07-15T00:00:00,0.033
2002-08-14T00:00:00,0.039
2002-09-18T00:00:00,0.043
2002-10-15T00:00:00,0.048
2002-11-19T00:00:00,0.046
2002-12-16T00:00:00,0.047
2003-01-15T00:00:00,0.046
2003-02-17T00:00:00,0.04
2003-03-17T00:00:00,0.037
2003-04-15T00:00:00,0.03
2003-05-19T00:00:00,0.03
2003-07-15T00:00:00,0.033
2003-08-18T00:00:00,0.04
2003-09-15T00:00:00,0.043
2003-10-20T00:00:00,0.042
2003-11-19T00:00:00,0.04
2003-12-15T00:00:00,0.038
2004-01-15T00:00:00,0.037
2004-02-17T00:00:00,0.035
2004-03-17T00:00:00,0.033
2004-04-14T00:00:00,0.027
2004-05-17T00:00:00,0.034
2004-06-21T00:00:00,0.035
2004-07-26T00:00:00,0.035
2004-08-16T00:00:00,0.036
2004-09-15T00:00:00,0.037
2004-10-13T00:00:00,0.034
2004-11-22T00:00:00,0.036
2004-12-15T00:00:00,0.031
2005-01-17T00:00:00,0.03
2005-02-16T00:00:00,0.035
2005-03-29T00:00:00,0.032
2005-04-19T00:00:00,0.028
2005-05-16T00:00:00,0.032
2005-09-29T00:00:00,0.044
2005-10-19T00:00:00,0.04
2005-11-17T00:00:00,0.039
2005-12-12T00:00:00,0.039
2006-01-16T00:00:00,0.04
2006-02-15T00:00:00,0.04
2006-03-22T00:00:00,0.04
2006-04-18T00:00:00,0.032
2006-05-16T00:00:00,0.029
2006-06-19T00:00:00,0.035
2006-07-24T00:00:00,0.037
2006-08-15T00:00:00,0.041
2006-09-20T00:00:00,0.036
2006-10-17T00:00:00,0.036
2006-11-16T00:00:00,0.033
2006-12-14T00:00:00,0.029
2007-01-16T00:00:00,0.026
2007-02-20T00:00:00,0.031
2007-03-21T00:00:00,0.025
2007-04-16T00:00:00,0.03
2007-05-22T00:00:00,0.028
2007-06-12T00:00:00,0.033
2007-08-22T00:00:00,0.036
2007-09-17T00:00:00,0.043
2007-10-15T00:00:00,0.037
2007-11-26T00:00:00,0.036
2007-12-18T00:00:00,0.036
2008-01-16T00:00:00,0.026
2008-02-26T00:00:00,0.027
2008-03-25T00:00:00,0.026
2008-04-16T00:00:00,0.024
2008-05-20T00:00:00,0.025
2008-06-25T00:00:00,0.035
2008-07-16T00:00:00,0.04
2008-09-02T00:00:00,0.036
2008-09-24T00:00:00,0.04
2008-10-28T00:00:00,0.035
2008-11-17T00:00:00,0.033
2008-12-16T00:00:00,0.033
2009-01-26T00:00:00,0.035
2009-02-18T00:00:00,0.04
2009-03-16T00:00:00,0.038
2009-04-14T00:00:00,0.024
2009-05-19T00:00:00,0.032
2009-06-16T00:00:00,0.027
2009-08-17T00:00:00,0.03
2009-09-15T00:00:00,0.03
2009-10-14T00:00:00,0.032
2009-11-17T00:00:00,0.028
2009-12-16T00:00:00,0.029
2010-02-17T00:00:00,0.036
2010-03-15T00:00:00,0.037
2010-04-20T00:00:00,0.021
2010-05-19T00:00:00,0.024
2010-06-22T00:00:00,0.026
2010-07-21T00:00:00,0.033
2010-08-18T00:00:00,0.034
2010-09-21T00:00:00,0.03
2010-10-19T00:00:00,0.03
2010-11-16T00:00:00,0.028
