fake title
time,pH(pH Unit)
1990-01-15T00:00:00,7.7
1990-02-18T00:00:00,7.76
1990-03-19T00:00:00,7.72
1990-04-17T00:00:00,7.93
1990-05-15T00:00:00,8.09
1990-06-18T00:00:00,8.01
1990-07-16T00:00:00,8.15
1990-08-15T00:00:00,8.05
1990-09-17T00:00:00,7.95
1990-10-15T00:00:00,7.86
1990-11-14T00:00:00,7.83
1990-12-17T00:00:00,7.06
1991-01-15T00:00:00,7.64
1991-02-18T00:00:00,7.84
1991-03-18T00:00:00,7.84
1991-04-15T00:00:00,8.22
1991-05-16T00:00:00,8.23
1991-06-17T00:00:00,8.34
1991-07-16T00:00:00,7.76
1991-08-15T00:00:00,7.97
1991-09-16T00:00:00,8.12
1991-10-15T00:00:00,8.12
1991-11-18T00:00:00,7.77
1991-12-16T00:00:00,7.96
1992-01-15T00:00:00,7.81
1992-02-17T00:00:00,7.75
1992-03-16T00:00:00,7.88
1992-04-15T00:00:00,7.79
1992-05-18T00:00:00,8.54
1992-06-15T00:00:00,7.69
1992-07-15T00:00:00,7.89
1992-08-17T00:00:00,7.86
1992-09-15T00:00:00,7.98
1992-10-15T00:00:00,7.81
1992-11-16T00:00:00,7.52
1992-12-21T00:00:00,7.59
1993-01-18T00:00:00,7.6
1993-02-16T00:00:00,7.76
1993-03-16T00:00:00,7.75
1993-04-19T00:00:00,8.32
1993-05-17T00:00:00,8.16
1993-06-15T00:00:00,8.31
1993-07-18T00:00:00,7.86
1993-08-16T00:00:00,7.88
1993-09-16T00:00:00,7.42
1993-10-18T00:00:00,7.48
1993-11-15T00:00:00,7.45
1993-12-15T00:00:00,7.69
1994-01-17T00:00:00,7.59
1994-02-15T00:00:00,7.72
1994-03-16T00:00:00,7.66
1994-04-18T00:00:00,7.75
1994-05-16T00:00:00,8.16
1994-06-14T00:00:00,8.12
1994-07-18T00:00:00,8.37
1994-08-15T00:00:00,8.29
1994-09-15T00:00:00,7.37
1994-10-17T00:00:00,8.18
1994-11-16T00:00:00,7.86
1994-12-15T00:00:00,7.63
1995-01-16T00:00:00,7.66
1995-02-15T00:00:00,7.75
1995-03-15T00:00:00,7.81
1995-04-18T00:00:00,7.8
1995-05-15T00:00:00,8.31
1995-06-15T00:00:00,7.96
1995-07-17T00:00:00,8.08
1995-08-15T00:00:00,8.34
1995-09-18T00:00:00,8.05
1995-10-16T00:00:00,8.05
1995-11-15T00:00:00,8.01
1995-12-18T00:00:00,8.05
1996-01-15T00:00:00,7.78
1996-02-15T00:00:00,8.01
1996-03-19T00:00:00,7.97
1996-04-15T00:00:00,8.39
1996-05-20T00:00:00,8.16
1996-06-17T00:00:00,8.65
1996-07-15T00:00:00,8.09
1996-08-15T00:00:00,8.12
1996-09-16T00:00:00,8.12
1996-10-15T00:00:00,8
1996-11-18T00:00:00,7.96
1996-12-16T00:00:00,7.77
1997-01-15T00:00:00,7.7
1997-02-17T00:00:00,7.77
1997-03-17T00:00:00,7.91
1997-04-15T00:00:00,8.26
1997-05-15T00:00:00,8.06
1997-06-16T00:00:00,8.01
1997-07-15T00:00:00,8.14
1997-08-18T00:00:00,8.07
1997-09-15T00:00:00,8.16
1997-11-27T00:00:00,8.02
1997-12-15T00:00:00,7.83
1998-01-19T00:00:00,7.72
1998-02-16T00:00:00,7.65
1998-03-16T00:00:00,7.75
1998-04-15T00:00:00,7.97
1998-05-18T00:00:00,8.31
1998-06-16T00:00:00,7.85
1998-07-14T00:00:00,8.07
1998-08-12T00:00:00,8.16
1998-09-15T00:00:00,7.75
1998-10-14T00:00:00,7.81
1998-11-15T00:00:00,7.67
1998-12-15T00:00:00,7.44
1999-01-18T00:00:00,7.57
1999-02-15T00:00:00,7.88
1999-03-15T00:00:00,7.74
1999-04-14T00:00:00,8.09
1999-05-17T00:00:00,7.83
1999-06-15T00:00:00,7.98
1999-07-19T00:00:00,8.31
1999-08-16T00:00:00,7.37
1999-09-14T00:00:00,8.1
1999-10-13T00:00:00,7.86
1999-11-15T00:00:00,7.97
1999-12-14T00:00:00,7.53
2000-01-12T00:00:00,7.8
2000-02-15T00:00:00,7.75
2000-03-14T00:00:00,7.58
2000-04-17T00:00:00,8.06
2000-05-15T00:00:00,8.2
2000-06-19T00:00:00,8.28
2000-07-17T00:00:00,8.17
2000-08-15T00:00:00,8.14
2000-09-18T00:00:00,8.09
2000-10-16T00:00:00,7.99
2000-11-14T00:00:00,7.66
2000-12-18T00:00:00,7.56
2001-01-15T00:00:00,7.67
2001-02-14T00:00:00,7.29
2001-03-14T00:00:00,7.82
2001-04-17T00:00:00,8.07
2001-05-15T00:00:00,8.19
2001-06-18T00:00:00,8.1
2001-07-16T00:00:00,8.09
2001-08-15T00:00:00,8.17
2001-09-17T00:00:00,8.01
2001-10-16T00:00:00,7.91
2001-11-13T00:00:00,7.86
2001-12-17T00:00:00,7.93
2002-01-14T00:00:00,7.81
2002-02-13T00:00:00,7.54
2002-03-13T00:00:00,7.73
2002-04-15T00:00:00,7.95
2002-05-15T00:00:00,7.95
2002-06-17T00:00:00,8.05
2002-07-15T00:00:00,8.15
2002-08-13T00:00:00,8.1
2002-09-16T00:00:00,7.81
2002-10-14T00:00:00,7.85
2002-11-17T00:00:00,7.57
2002-12-16T00:00:00,7.98
2003-01-15T00:00:00,7.54
2003-02-17T00:00:00,7.95
2003-03-17T00:00:00,7.86
2003-04-15T00:00:00,8.07
2003-05-13T00:00:00,8.05
2003-06-16T00:00:00,8.04
2003-07-16T00:00:00,8.03
2003-08-18T00:00:00,8.02
2003-09-15T00:00:00,7.94
2003-10-15T00:00:00,8.02
2003-11-17T00:00:00,8.02
2003-12-15T00:00:00,7.74
2004-01-19T00:00:00,7.62
2004-02-16T00:00:00,7.71
2004-03-15T00:00:00,7.71
2004-04-13T00:00:00,7.99
2004-05-17T00:00:00,8.05
2004-06-15T00:00:00,7.89
2004-07-14T00:00:00,8.02
2004-08-16T00:00:00,8.1
2004-09-13T00:00:00,8.08
2004-10-18T00:00:00,7.41
2004-11-15T00:00:00,7.86
2004-12-14T00:00:00,7.83
2005-01-17T00:00:00,7.83
2005-02-15T00:00:00,7.81
2005-03-15T00:00:00,7.87
2005-04-18T00:00:00,8.07
2005-05-16T00:00:00,8.23
2005-06-14T00:00:00,8.12
2005-07-12T00:00:00,8.06
2005-09-13T00:00:00,8.03
2005-10-17T00:00:00,8.06
2005-11-14T00:00:00,8.05
2005-12-13T00:00:00,8.04
2006-01-16T00:00:00,7.84
2006-02-15T00:00:00,7.85
2006-03-13T00:00:00,7.91
2006-04-10T00:00:00,7.72
2006-05-15T00:00:00,8.04
2006-06-12T00:00:00,8.06
2006-07-17T00:00:00,8.04
2006-08-15T00:00:00,7.48
2006-09-18T00:00:00,7.93
2006-10-16T00:00:00,8.02
2006-11-15T00:00:00,7.61
2006-12-13T00:00:00,7.73
2007-01-15T00:00:00,7.82
2007-02-14T00:00:00,7.75
2007-03-14T00:00:00,7.78
2007-04-16T00:00:00,8.14
2007-05-21T00:00:00,8.05
2007-06-13T00:00:00,8.22
2007-09-17T00:00:00,8
2007-10-29T00:00:00,7.96
2007-11-12T00:00:00,7.89
2008-01-16T00:00:00,7.85
2008-02-18T00:00:00,7.94
2008-04-16T00:00:00,8
2008-05-19T00:00:00,8.17
2008-06-16T00:00:00,8.21
2008-08-11T00:00:00,8.05
2008-09-15T00:00:00,8.14
2008-12-17T00:00:00,7.83
2009-01-19T00:00:00,7.76
2009-02-19T00:00:00,7.99
2009-03-18T00:00:00,8
2009-04-15T00:00:00,8.23
2009-05-25T00:00:00,8.18
2009-06-22T00:00:00,8.13
2009-07-13T00:00:00,8.04
2009-08-17T00:00:00,8.11
2009-09-14T00:00:00,8.03
2009-10-15T00:00:00,8.04
2009-12-14T00:00:00,7.89
2010-01-18T00:00:00,8.04
2010-03-24T00:00:00,7.61
2010-04-15T00:00:00,7.98
2010-05-17T00:00:00,8
2010-06-28T00:00:00,8.23
2010-08-15T00:00:00,7.71
2010-10-26T00:00:00,7.65
2010-11-18T00:00:00,7.69
2010-12-30T00:00:00,7.68
