asdf
time,"Potassium, dissolved(milliequivalents per liter)"
1990-01-15T00:00:00,0.012
1990-02-15T00:00:00,0.013
1990-03-15T00:00:00,0.013
1990-04-15T00:00:00,0.014
1990-05-15T00:00:00,0.011
1990-06-15T00:00:00,0.01
1990-07-15T00:00:00,0.012
1990-08-15T00:00:00,0.01
1990-09-15T00:00:00,0.009
1990-10-15T00:00:00,0.011
1990-11-15T00:00:00,0.014
1990-12-15T00:00:00,0.012
1991-01-14T00:00:00,0.011
1991-02-15T00:00:00,0.013
1991-03-15T00:00:00,0.012
1991-04-15T00:00:00,0.015
1991-05-15T00:00:00,0.012
1991-06-15T00:00:00,0.014
1991-07-15T00:00:00,0.01
1991-08-15T00:00:00,0.01
1991-09-15T00:00:00,0.01
1991-10-15T00:00:00,0.009
1991-11-15T00:00:00,0.009
1991-12-15T00:00:00,0.009
1992-01-15T00:00:00,0.01
1992-02-15T00:00:00,0.01
1992-03-15T00:00:00,0.011
1992-04-15T00:00:00,0.012
1992-05-15T00:00:00,0.014
1992-06-15T00:00:00,0.012
1992-07-15T00:00:00,0.011
1992-08-15T00:00:00,0.008
1992-09-15T00:00:00,0.007
1992-10-15T00:00:00,0.01
1992-11-15T00:00:00,0.01
1992-12-15T00:00:00,0.011
1993-01-15T00:00:00,0.011
1993-02-15T00:00:00,0.011
1993-03-15T00:00:00,0.011
1993-04-15T00:00:00,0.011
1993-05-15T00:00:00,0.009
1993-06-15T00:00:00,0.008
1993-07-15T00:00:00,0.008
1993-08-15T00:00:00,0.007
1993-09-15T00:00:00,0.009
1993-10-15T00:00:00,0.009
1993-11-15T00:00:00,0.011
1993-12-15T00:00:00,0.011
1994-01-15T00:00:00,0.011
1994-02-15T00:00:00,0.013
1994-03-15T00:00:00,0.012
1994-04-15T00:00:00,0.012
1994-05-15T00:00:00,0.013
1994-06-15T00:00:00,0.01
1994-07-15T00:00:00,0.01
1994-08-15T00:00:00,0.01
1994-09-16T00:00:00,0.01
1994-10-15T00:00:00,0.01
1994-11-15T00:00:00,0.011
1994-12-15T00:00:00,0.01
1995-01-15T00:00:00,0.01
1995-02-15T00:00:00,0.01
1995-03-15T00:00:00,0.011
1995-04-15T00:00:00,0.011
1995-05-15T00:00:00,0.011
1995-06-15T00:00:00,0.009
1995-07-27T00:00:00,0.01
1995-09-15T00:00:00,0.009
1995-10-15T00:00:00,0.009
1995-11-15T00:00:00,0.009
1995-12-15T00:00:00,0.01
1996-01-15T00:00:00,0.012
1996-04-15T00:00:00,0.012
1996-05-16T00:00:00,0.016
1996-06-15T00:00:00,0.012
1996-07-15T00:00:00,0.009
1996-08-15T00:00:00,0.009
1996-09-15T00:00:00,0.012
1996-10-15T00:00:00,0.009
1996-11-15T00:00:00,0.01
1996-12-15T00:00:00,0.01
1997-01-21T00:00:00,0.011
1997-02-17T00:00:00,0.022
1997-03-29T00:00:00,0.013
1997-04-15T00:00:00,0.011
1997-05-15T00:00:00,0.012
1997-06-15T00:00:00,0.009
