Pipbaekan Flouride Concentrations
time,"Fluoride, dissolved(milligrams per liter)"
1990-01-14T00:00:00,0.249
1990-02-18T00:00:00,0.328
1990-03-25T00:00:00,0.404
1990-04-16T00:00:00,0.362
1990-05-06T00:00:00,0.338
1990-05-20T00:00:00,0.34
1990-06-04T00:00:00,0.335
1990-06-17T00:00:00,0.347
1990-07-01T00:00:00,0.279
1990-07-18T00:00:00,0.32
1990-07-31T00:00:00,0.386
1990-08-19T00:00:00,0.37
1990-09-02T00:00:00,0.348
1990-09-16T00:00:00,0.359
1990-10-02T00:00:00,0.28
1990-10-16T00:00:00,0.334
1990-10-31T00:00:00,0.337
1990-11-18T00:00:00,0.278
1990-12-16T00:00:00,0.34
1991-01-16T00:00:00,0.399
1991-02-17T00:00:00,0.482
1991-03-16T00:00:00,0.277
1991-04-15T00:00:00,0.333
1991-05-05T00:00:00,0.325
1991-05-20T00:00:00,0.344
1991-06-02T00:00:00,0.331
1991-06-17T00:00:00,0.269
1991-06-30T00:00:00,0.263
1991-07-16T00:00:00,0.25
1991-08-04T00:00:00,0.36
1991-08-18T00:00:00,0.325
1991-09-02T00:00:00,0.367
1991-09-16T00:00:00,0.353
1991-10-01T00:00:00,0.313
1991-10-13T00:00:00,0.324
1991-11-05T00:00:00,0.303
1991-11-18T00:00:00,0.293
1991-12-15T00:00:00,0.337
1992-01-19T00:00:00,0.364
1992-02-17T00:00:00,0.296
1992-03-15T00:00:00,0.295
1992-04-12T00:00:00,0.313
1992-05-03T00:00:00,0.258
1992-05-19T00:00:00,0.297
1992-05-31T00:00:00,0.362
1992-06-14T00:00:00,0.379
1992-06-30T00:00:00,0.388
1992-07-19T00:00:00,0.399
1992-08-02T00:00:00,0.372
1992-08-16T00:00:00,0.427
1992-08-30T00:00:00,0.283
1992-09-13T00:00:00,0.323
1992-10-04T00:00:00,0.345
1992-10-18T00:00:00,0.327
1992-11-01T00:00:00,0.264
1992-11-15T00:00:00,0.289
1992-12-15T00:00:00,0.273
1993-01-18T00:00:00,0.307
1993-02-15T00:00:00,0.348
1993-03-14T00:00:00,0.361
1993-04-18T00:00:00,0.34
1993-05-02T00:00:00,0.357
1993-05-17T00:00:00,0.372
1993-06-02T00:00:00,0.385
1993-06-14T00:00:00,0.362
1993-07-04T00:00:00,0.367
1993-07-18T00:00:00,0.31
1993-08-01T00:00:00,0.266
1993-08-15T00:00:00,0.277
1993-09-02T00:00:00,0.295
1993-09-13T00:00:00,0.305
1993-10-03T00:00:00,0.327
1993-10-18T00:00:00,0.285
1993-11-01T00:00:00,0.304
1993-11-16T00:00:00,0.27
1993-12-15T00:00:00,0.302
1994-01-17T00:00:00,0.283
1994-02-16T00:00:00,0.357
