fake title
time,Discharge(cubic meters per second)
1990-01-01T00:00:00,0.933179975
1990-01-02T00:00:00,0.833119988
1990-01-03T00:00:00,0.757730007
1990-01-04T00:00:00,0.694050014
1990-01-05T00:00:00,0.674780011
1990-01-06T00:00:00,0.618049979
1990-01-07T00:00:00,0.581409991
1990-01-08T00:00:00,0.641120017
1990-01-09T00:00:00,0.720220029
1990-01-10T00:00:00,0.689970016
1990-01-11T00:00:00,0.710709989
1990-01-12T00:00:00,0.742640018
1990-01-13T00:00:00,0.730050027
1990-01-14T00:00:00,0.75345999
1990-01-15T00:00:00,0.888759971
1990-01-16T00:00:00,1.293460011
1990-01-17T00:00:00,1.398390055
1990-01-18T00:00:00,1.275869966
1990-01-19T00:00:00,1.035230041
1990-01-20T00:00:00,1.011139989
1990-01-21T00:00:00,0.810440004
1990-01-22T00:00:00,0.805689991
1990-01-23T00:00:00,1.021199942
1990-01-24T00:00:00,1.466789961
1990-01-25T00:00:00,1.628739953
1990-01-26T00:00:00,2.925309896
1990-01-27T00:00:00,2.451719999
1990-01-28T00:00:00,1.719059944
1990-01-29T00:00:00,1.591639996
1990-01-30T00:00:00,1.328649998
1990-01-31T00:00:00,1.176419973
1990-02-01T00:00:00,1.068789959
1990-02-02T00:00:00,0.978429973
1990-02-03T00:00:00,0.990570009
1990-02-04T00:00:00,1.518779993
1990-02-05T00:00:00,1.396080017
1990-02-06T00:00:00,1.23526001
1990-02-07T00:00:00,1.12322998
1990-02-08T00:00:00,1.391780019
1990-02-09T00:00:00,1.260810018
1990-02-10T00:00:00,1.169289947
1990-02-11T00:00:00,1.121250033
1990-02-12T00:00:00,1.082260013
1990-02-13T00:00:00,1.181660056
1990-02-14T00:00:00,1.27452004
1990-02-15T00:00:00,1.111520052
1990-02-16T00:00:00,0.991630018
1990-02-17T00:00:00,0.864049971
1990-02-18T00:00:00,0.873679996
1990-02-19T00:00:00,0.857729971
1990-02-20T00:00:00,0.877210021
1990-02-21T00:00:00,0.89497
1990-02-22T00:00:00,0.827889979
1990-02-23T00:00:00,0.777040005
1990-02-24T00:00:00,0.769349992
1990-02-25T00:00:00,0.756810009
1990-02-26T00:00:00,0.850530028
1990-02-27T00:00:00,1.20927
1990-02-28T00:00:00,1.157480001
1990-03-01T00:00:00,2.068799973
1990-03-02T00:00:00,1.707450032
1990-03-03T00:00:00,1.337200046
1990-03-04T00:00:00,1.266870022
1990-03-05T00:00:00,1.205459952
1990-03-06T00:00:00,2.643520117
1990-03-07T00:00:00,2.877629995
1990-03-08T00:00:00,2.237760067
1990-03-09T00:00:00,2.047990084
1990-03-10T00:00:00,1.984179974
1990-03-11T00:00:00,1.86995995
1990-03-12T00:00:00,1.777619958
1990-03-13T00:00:00,1.394050002
1990-03-14T00:00:00,1.233100057
1990-03-15T00:00:00,1.132179976
1990-03-16T00:00:00,1.060189962
1990-03-17T00:00:00,0.953369975
1990-03-18T00:00:00,0.89497
1990-03-19T00:00:00,0.851480007
1990-03-20T00:00:00,1.076779962
1990-03-21T00:00:00,1.008530021
1990-03-22T00:00:00,0.923110008
1990-03-23T00:00:00,0.841989994
1990-03-24T00:00:00,0.788999975
1990-03-25T00:00:00,0.750119984
1990-03-26T00:00:00,0.673290014
1990-03-27T00:00:00,0.592069983
1990-03-28T00:00:00,0.577610016
1990-03-29T00:00:00,0.5546
1990-03-30T00:00:00,0.529699981
1990-03-31T00:00:00,0.488310009
1990-04-01T00:00:00,0.493930012
1990-04-02T00:00:00,0.507290006
1990-04-03T00:00:00,0.506590009
1990-04-04T00:00:00,0.459899992
1990-04-05T00:00:00,0.394149989
1990-04-06T00:00:00,0.378089994
1990-04-07T00:00:00,0.378089994
1990-04-08T00:00:00,0.346639991
1990-04-09T00:00:00,0.305000007
1990-04-10T00:00:00,0.295650005
1990-04-11T00:00:00,0.333900005
1990-04-12T00:00:00,0.265390009
1990-04-13T00:00:00,0.264840007
1990-04-14T00:00:00,0.269309998
1990-04-15T00:00:00,0.378179997
1990-04-16T00:00:00,0.357219994
1990-04-17T00:00:00,0.286130011
1990-04-18T00:00:00,0.253589988
1990-04-19T00:00:00,0.239130005
1990-04-20T00:00:00,0.239130005
1990-04-21T00:00:00,0.217069998
1990-04-22T00:00:00,0.262039989
1990-04-23T00:00:00,0.208140001
1990-04-24T00:00:00,0.203240007
1990-04-25T00:00:00,0.20781
1990-04-26T00:00:00,0.169170007
1990-04-27T00:00:00,0.248750001
1990-04-28T00:00:00,0.250990003
1990-04-29T00:00:00,0.233490005
1990-04-30T00:00:00,0.239130005
1990-05-01T00:00:00,0.230409995
1990-05-02T00:00:00,0.214509994
1990-05-03T00:00:00,0.214509994
1990-05-04T00:00:00,0.206180006
1990-05-05T00:00:00,0.191
1990-05-06T00:00:00,0.185069993
1990-05-07T00:00:00,0.162330002
1990-05-08T00:00:00,0.151899993
1990-05-09T00:00:00,0.148589998
1990-05-10T00:00:00,0.141660005
1990-05-11T00:00:00,0.135130003
1990-05-12T00:00:00,0.128470004
1990-05-13T00:00:00,0.136050001
1990-05-14T00:00:00,0.121809997
1990-05-15T00:00:00,0.121509999
1990-05-16T00:00:00,0.122419998
1990-05-17T00:00:00,0.155269995
1990-05-18T00:00:00,0.154369995
1990-05-19T00:00:00,0.130889997
1990-05-20T00:00:00,0.109049998
1990-05-21T00:00:00,0.108220004
1990-05-22T00:00:00,0.108220004
1990-05-23T00:00:00,0.108220004
1990-05-24T00:00:00,0.108220004
1990-05-25T00:00:00,0.108220004
1990-05-26T00:00:00,0.103919998
1990-05-27T00:00:00,0.095789999
1990-05-28T00:00:00,0.097599998
1990-05-29T00:00:00,0.104929999
1990-05-30T00:00:00,0.127560005
1990-05-31T00:00:00,0.102169998
1990-06-01T00:00:00,0.092639998
1990-06-02T00:00:00,0.08506
1990-06-03T00:00:00,0.08506
1990-06-04T00:00:00,0.088959999
1990-06-05T00:00:00,0.105939999
1990-06-06T00:00:00,0.116520002
1990-06-07T00:00:00,0.101899996
1990-06-08T00:00:00,0.088040002
1990-06-09T00:00:00,0.08506
1990-06-10T00:00:00,0.07858
1990-06-11T00:00:00,0.075029999
1990-06-12T00:00:00,0.06955
1990-06-13T00:00:00,0.06442
1990-06-14T00:00:00,0.057769999
1990-06-15T00:00:00,0.074490003
1990-06-16T00:00:00,0.115970001
1990-06-17T00:00:00,0.09206
1990-06-18T00:00:00,0.078160003
1990-06-19T00:00:00,0.06955
1990-06-20T00:00:00,0.069459997
1990-06-21T00:00:00,0.08506
1990-06-22T00:00:00,0.08506
1990-06-23T00:00:00,0.080370001
1990-06-24T00:00:00,0.075029999
1990-06-25T00:00:00,0.075029999
1990-06-26T00:00:00,0.071819998
1990-06-27T00:00:00,0.072329998
1990-06-28T00:00:00,0.193829998
1990-06-29T00:00:00,0.154620007
1990-06-30T00:00:00,0.104440004
1990-07-01T00:00:00,0.177990004
1990-07-02T00:00:00,0.293410003
1990-07-03T00:00:00,0.215829998
1990-07-04T00:00:00,0.148169994
1990-07-05T00:00:00,0.164949998
1990-07-06T00:00:00,0.435979992
1990-07-07T00:00:00,0.408930004
1990-07-08T00:00:00,0.366950005
1990-07-09T00:00:00,0.305559993
1990-07-10T00:00:00,0.267349988
1990-07-11T00:00:00,0.24876
1990-07-12T00:00:00,0.223810002
1990-07-13T00:00:00,0.180519998
1990-07-14T00:00:00,0.155689999
1990-07-15T00:00:00,0.125369996
1990-07-16T00:00:00,0.102410004
1990-07-17T00:00:00,0.089879997
1990-07-18T00:00:00,0.095339999
1990-07-19T00:00:00,0.096089996
1990-07-20T00:00:00,0.090340003
1990-07-21T00:00:00,0.08506
1990-07-22T00:00:00,0.079829998
1990-07-23T00:00:00,0.079829998
1990-07-24T00:00:00,0.086199999
1990-07-25T00:00:00,0.090800002
1990-07-26T00:00:00,0.081919998
1990-07-27T00:00:00,0.075029999
1990-07-28T00:00:00,0.070309997
1990-07-29T00:00:00,0.065959997
1990-07-30T00:00:00,0.065959997
1990-07-31T00:00:00,0.0634
1990-08-01T00:00:00,0.05469
1990-08-02T00:00:00,0.057769999
1990-08-03T00:00:00,0.053920001
1990-08-04T00:00:00,0.050390001
1990-08-05T00:00:00,0.050390001
1990-08-06T00:00:00,0.050390001
1990-08-07T00:00:00,0.050390001
1990-08-08T00:00:00,0.050390001
1990-08-09T00:00:00,0.057300001
1990-08-10T00:00:00,0.066179998
1990-08-11T00:00:00,0.065959997
1990-08-12T00:00:00,0.062369999
1990-08-13T00:00:00,0.057769999
1990-08-14T00:00:00,0.057769999
1990-08-15T00:00:00,0.060830001
1990-08-16T00:00:00,0.064329997
1990-08-17T00:00:00,0.075489998
1990-08-18T00:00:00,0.066459998
1990-08-19T00:00:00,0.054590002
1990-08-20T00:00:00,0.092210002
1990-08-21T00:00:00,0.119290002
1990-08-22T00:00:00,0.091650002
1990-08-23T00:00:00,0.068039998
