Water Level Provo River
time,Water level(ft)
2014-07-09T05:56:21+00:00,0.3943
2014-07-11T01:15:02+00:00,0.43311
2014-07-11T01:30:24+00:00,0.4282
2014-07-11T01:45:18+00:00,0.42231
2014-07-11T02:00:12+00:00,0.4177
2014-07-11T02:15:06+00:00,0.40955
2014-07-11T02:30:00+00:00,0.39978
2014-07-11T02:45:21+00:00,0.39573
2014-07-11T03:00:15+00:00,0.395
2014-07-11T03:15:09+00:00,0.39406
2014-07-11T03:30:03+00:00,0.39528
2014-07-11T03:45:24+00:00,0.39168
2014-07-11T04:00:19+00:00,0.39208
2014-07-11T04:15:13+00:00,0.38991
2014-07-11T04:30:07+00:00,0.3857
2014-07-11T04:45:01+00:00,0.38122
2014-07-11T05:00:22+00:00,0.37799
2014-07-11T05:15:16+00:00,0.37474
2014-07-11T05:30:10+00:00,0.37193
2014-07-11T05:45:04+00:00,0.37128
2014-07-11T06:00:25+00:00,0.37014
2014-07-11T06:15:20+00:00,0.36927
2014-07-11T06:30:14+00:00,0.3647
2014-07-11T06:45:08+00:00,0.36288
2014-07-11T07:00:02+00:00,0.36172
2014-07-11T07:15:23+00:00,0.36539
2014-07-11T07:30:17+00:00,0.36326
2014-07-11T07:45:11+00:00,0.35632
2014-07-11T08:00:05+00:00,0.34966
2014-07-11T08:15:26+00:00,0.34586
2014-07-11T08:30:20+00:00,0.34481
2014-07-11T08:45:14+00:00,0.34886
2014-07-11T09:00:09+00:00,0.35858
2014-07-11T09:15:03+00:00,0.37595
2014-07-11T09:45:18+00:00,0.40033
2014-07-11T10:00:12+00:00,0.40604
2014-07-11T10:15:06+00:00,0.41287
2014-07-13T10:15:22+00:00,0.29447
2014-07-13T10:30:17+00:00,0.29101
2014-07-13T10:45:11+00:00,0.28588
2014-07-13T11:00:05+00:00,0.28433
2014-07-13T11:15:26+00:00,0.28285
2014-07-13T11:30:20+00:00,0.28256
2014-07-13T11:45:14+00:00,0.28224
2014-07-13T12:00:08+00:00,0.28285
2014-07-13T12:15:02+00:00,0.28775
2014-07-13T12:30:23+00:00,0.29596
2014-07-13T12:45:17+00:00,0.29986
2014-07-13T13:00:11+00:00,0.29955
2014-07-13T13:15:05+00:00,0.29578
2014-07-13T13:30:26+00:00,0.28908
2014-07-13T13:45:20+00:00,0.28545
2014-07-13T14:00:14+00:00,0.28469
2014-07-13T14:15:08+00:00,0.28517
2014-07-13T14:30:02+00:00,0.29051
2014-07-13T14:45:24+00:00,0.30097
2014-07-13T15:00:18+00:00,0.30648
2014-07-13T15:15:12+00:00,0.3098
2014-07-13T15:30:06+00:00,0.3083
2014-07-13T15:45:00+00:00,0.30511
2014-07-13T16:00:21+00:00,0.2979
2014-07-13T16:15:15+00:00,0.29517
2014-07-13T16:30:09+00:00,0.2892
2014-07-13T16:45:03+00:00,0.2838
2014-07-13T17:00:24+00:00,0.28042
2014-07-13T17:15:18+00:00,0.27737
2014-07-13T17:30:12+00:00,0.27073
2014-07-13T17:45:06+00:00,0.26858
2014-07-13T18:00:00+00:00,0.26391
2014-07-13T18:15:21+00:00,0.26228
2014-07-13T18:30:15+00:00,0.26208
2014-07-13T18:45:09+00:00,0.26165
2014-07-13T19:00:03+00:00,0.26242
2014-07-13T19:15:24+00:00,0.26822
2014-07-13T19:30:18+00:00,0.26938
2014-07-13T19:45:12+00:00,0.26838
2014-07-13T20:00:06+00:00,0.26632
2014-07-13T20:15:00+00:00,0.26361
2014-07-13T20:30:21+00:00,0.26074
2014-07-13T20:45:15+00:00,0.25982
2014-07-13T21:00:09+00:00,0.25796
2014-07-13T21:15:03+00:00,0.25687
2014-07-13T21:30:24+00:00,0.25642
2014-07-13T21:45:18+00:00,0.25527
