# This is a test file for the CSV parser
# another comment - the following line is a header - the rest are data - data delimiter is a comma
SourceCode,SiteCode,LocalDateTime,DataValue,VariableCode#,CensorCode,MethodCode,QualityControlCode
UMBC,DRKR#,2021-10-28 11:45:00,17.37,Temp_deg_C,nc,HOBO_MX_2305,QC1
UMBC,DRKR,2021-10-28 11:50:00,17.46,Temp_deg_C,nc,HOBO_MX_2305,QC1
UMBC,DRKR,2021-10-28 11:55:00,17.41,Temp_deg_C,nc,HOBO_MX_2305,QC1
UMBC,DRKR,2021-10-28 12:00:00,17.41,Temp_deg_C,nc,HOBO_MX_2305,QC1
UMBC,DRKR,2021-10-28 12:05:00,17.5,Temp_deg_C,nc,HOBO_MX_2305,QC1
UMBC,DRKR,2021-10-28 12:10:00,17.54,Temp_deg_C,nc,HOBO_MX_2305,QC1
UMBC,DRKR,2021-10-28 12:15:00,17.54,Temp_deg_C,nc,HOBO_MX_2305,QC1
UMBC,DRKR,2021-10-28 12:20:00,17.67,Temp_deg_C,nc,HOBO_MX_2305,QC1
UMBC,DRKR,2021-10-28 12:25:00,17.72,Temp_deg_C,nc,HOBO_MX_2305,QC1
UMBC,DRKR,2021-10-28 12:30:00,17.59,Temp_deg_C,nc,HOBO_MX_2305,QC1
UMBC,DRKR,2021-10-28 12:35:00,17.41,Temp_deg_C,nc,HOBO_MX_2305,QC1
UMBC,DRKR,2021-10-28 12:40:00,17.2,Temp_deg_C,nc,HOBO_MX_2305,QC1
UMBC,DRKR,2021-10-28 12:45:00,17.07,Temp_deg_C,nc,HOBO_MX_2305,QC1
UMBC,DRKR,2021-10-28 12:50:00,16.99,Temp_deg_C,nc,HOBO_MX_2305,QC1
UMBC,DRKR,2021-10-28 12:55:00,16.99,Temp_deg_C,nc,HOBO_MX_2305,QC1
UMBC,DRKR,2021-10-28 13:00:00,16.94,Temp_deg_C,nc,HOBO_MX_2305,QC1
UMBC,DRKR,2021-10-28 13:05:00,16.86,Temp_deg_C,nc,HOBO_MX_2305,QC1
UMBC,DRKR,2021-10-28 13:10:00,16.9,Temp_deg_C,nc,HOBO_MX_2305,QC1
UMBC,DRKR,2021-10-28 13:15:00,16.94,Temp_deg_C,nc,HOBO_MX_2305,QC1
UMBC,DRKR,2021-10-28 13:20:00,16.99,Temp_deg_C,nc,HOBO_MX_2305,QC1
UMBC,DRKR,2021-10-28 13:25:00,17.16,Temp_deg_C,nc,HOBO_MX_2305,QC1
UMBC,DRKR,2021-10-28 13:30:00,17.5,Temp_deg_C,nc,HOBO_MX_2305,QC1
UMBC,DRKR,2021-10-28 13:35:00,17.72,Temp_deg_C,nc,HOBO_MX_2305,QC1
UMBC,DRKR,2021-10-28 13:40:00,17.72,Temp_deg_C,nc,HOBO_MX_2305,QC1
UMBC,DRKR,2021-10-28 13:45:00,17.63,Temp_deg_C,nc,HOBO_MX_2305,QC1
UMBC,DRKR,2021-10-28 13:50:00,17.72,Temp_deg_C,nc,HOBO_MX_2305,QC1
UMBC,DRKR,2021-10-28 13:55:00,17.72,Temp_deg_C,nc,HOBO_MX_2305,QC1
UMBC,DRKR,2021-10-28 14:00:00,17.63,Temp_deg_C,nc,HOBO_MX_2305,QC1
UMBC,DRKR,2021-10-28 14:05:00,17.5,Temp_deg_C,nc,HOBO_MX_2305,QC1
