# This is a test file for the CSV parser
not a comment line - this line makes our csv content type validation to mark it as an invalid csv file
#another comment - the following line is a header - the rest are data - data delimiter is a comma
Column-1,Column-2,Column-3,Column-4,Column-5
Row1Value1,10.0,Row1Value3,Row1Value4,Row1Value5
Row2Value1,Row2Vale2,Row2Value3,Row2Value4,Row2Value5
Row3Value1,Row3Value2,Row3Value3,Row3Value4,Row3Value5
Row4Value1,Row4Value2.Row4Value3,Row4Value4,Row4Value5
Row5Value1,Row5Value2.Row5Value3,Row5Value4,Row5Value5
Row6Value1,Row6Value2.Row6Value3,Row6Value4,Row6Value5
Row7Value1,Row7Value2.Row7Value3,Row7Value4,Row7Value5
Row8Value1,Row8Value2.Row8Value3,Row8Value4,Row8Value5
Row9Value1,Row9Value2,Row9Value3,Row9Value4,Row9Value5
Row10Value1,Row10Value2,Row10Value3,Row10Value4,Row10Value5
Row11Value1,Row11Value2,Row11Value3,Row11Value4,Row11Value5
Row12Value1,Row12Value2,Row12Value3,Row12Value4,Row12Value5
Row13Value1,Row13Value2,Row13Value3,Row13Value4,Row13Value5
Row14Value1,Row14Value2,Row14Value3,Row14Value4,Row14Value5
Row15Value1,Row15Value2,Row15Value3,Row15Value4,Row15Value5
Row16Value1,Row16Value2,Row16Value3,Row16Value4,Row16Value5
Row17Value1,Row17Value2,Row17Value3,Row17Value4,Row17Value5
Row18Value1,Row18Value2,Row18Value3,Row18Value4,Row18Value5
